date,price,c,d
2022/7/5,101.35,99.71,112.37
2022/7/4,0,108.25,121.79
2022/7/1,110.1,105.93,119.11
2022/6/30,107.56,108.76,119.77
2022/6/29,111.45,111.18,120.47
2022/6/28,113.46,112.98,122.26
2022/6/27,111.24,110.51,120.3
2022/6/24,108.97,107.96,117.45
2022/6/23,105.65,104.56,114.09
2022/6/22,106.17,104.72,113.93
2022/6/21,110.44,109.47,118.82
2022/6/20,110.22,109.29,118.24
2022/6/17,109.51,108.04,119.79
2022/6/16,117.51,114.12,125.02
2022/6/15,115.27,113.97,125.53
2022/6/14,118.87,113.74,127.92
2022/6/13,120.87,116.37,128.56
2022/6/10,120.68,116.37,127.45
2022/6/9,121.47,116.71,128.44
2022/6/8,121.89,117.84,129.64
2022/6/7,119.5,114.49,127.21
2022/6/6,118.36,113.82,125.68
2022/6/3,118.92,113.42,126.95
2022/6/2,116.83,111.41,0
2022/6/1,115.21,109.03,121.77
2022/5/31,114.33,110.51,125.52
2022/5/30,0,115.23,123
2022/5/27,114.91,113.29,120.59
2022/5/26,115.94,112.27,120.15
2022/5/25,112.63,109.78,116.8
2022/5/24,112.45,109.89,116
2022/5/23,110.27,108.9,115.17
2022/5/20,112.16,109.4,113.99
2022/5/19,112.16,107.28,112.64
2022/5/18,109.62,104.81,110.05
2022/5/17,112.26,109.67,113.63
2022/5/16,114.02,110.26,114.77
2022/5/13,110.47,107.66,111.78
2022/5/12,106.1,104.49,108.45
2022/5/11,105.45,103.3,107.92
2022/5/10,99.69,97.95,101.84
2022/5/9,103.03,101.48,105.99
2022/5/6,109.67,108.21,114.61
2022/5/5,108.12,107.4,112.33
2022/5/4,107.79,106.47,110.56
2022/5/3,102.48,0,105.76
2022/5/2,105.13,0,0
2022/4/29,104.54,106.24,108.35
2022/4/28,105.42,105.44,105.44
2022/4/27,101.91,103.08,103.17
2022/4/26,102.52,103.09,103.54
2022/4/25,99.55,100.32,99.8
2022/4/22,102.66,104.24,104.84
2022/4/21,103.84,105.9,107.58
2022/4/20,102.51,104.38,105.46
2022/4/19,102.49,104.69,106.01
2022/4/18,108.19,108.56,0
2022/4/14,106.79,108.39,110.82
2022/4/13,104.21,104.7,108.54
2022/4/12,100.47,102.17,104.82
2022/4/11,94.17,95.26,98.76
2022/4/8,98.3,98.33,101.11
2022/4/7,96,96.85,100.61
2022/4/6,96.34,97.24,101.33
2022/4/5,101.93,100.61,105.69
2022/4/4,103.24,103.51,108.69
2022/4/1,99.27,100.01,106.5
2022/3/31,100.48,101.35,107.28
2022/3/30,107.76,110.43,114.95
2022/3/29,104.2,107.4,113.9
2022/3/28,107.3,106.79,111.54
2022/3/25,115.95,117,122.87
2022/3/24,113.9,114.11,122.96
2022/3/23,114.84,115.96,127.41
2022/3/22,110.98,110.82,120.84
2022/3/21,112.09,112.38,122.16
2022/3/18,104.64,104.16,114.87
2022/3/17,102.92,102.79,113.59
2022/3/16,94.8,94.97,104.48
2022/3/15,96.37,95.12,104.76
2022/3/14,103.17,101.27,111.21
2022/3/11,109.26,107.93,117.65
2022/3/10,105.88,104.07,114.56
2022/3/9,108.76,107.45,118.38
2022/3/8,123.59,123.36,134.71
2022/3/7,119.21,122.75,130.51
2022/3/4,115.72,113.87,123.58
2022/3/3,107.64,106.78,115.41
2022/3/2,110.69,105.03,120.79
2022/3/1,103.61,103.82,113.19
2022/2/28,95.98,97.69,103.07
2022/2/25,91.63,93.89,98.77
2022/2/24,92.72,98.83,101.73
2022/2/23,92.09,94.16,100.26
2022/2/22,92.06,93.71,98.68
2022/2/21,0,94.79,99.64
2022/2/18,91.21,90.89,96.3
2022/2/17,91.73,89.35,95.06
2022/2/16,93.78,90.07,94.65
2022/2/15,92.02,90.42,98.66
2022/2/14,95.47,93.14,100.87
2022/2/11,93.05,91.62,98.07
2022/2/10,89.78,90.67,96.42
2022/2/9,89.52,89.86,95.21
2022/2/8,89.27,88.73,96.5
2022/2/7,91.2,90.68,97.56
2022/2/4,92.22,90.49,96.29
2022/2/3,90.12,88.66,92.94
2022/2/2,88.11,0,91.28
2022/2/1,88.17,0,92.77
2022/1/31,89.06,87.01,92.34
2022/1/28,87.57,88.51,92.23
2022/1/27,87.51,88.06,91.32
2022/1/26,88.23,87.69,91.2
2022/1/25,86.51,85.85,89.03
2022/1/24,84.33,85.31,88.5
2022/1/21,85.11,85.8,88.84
2022/1/20,86.24,85.48,88.79
2022/1/19,86.79,85.78,89.05
2022/1/18,85.37,86.77,89.9
2022/1/17,0,84.57,87.8
2022/1/14,83.77,84.56,87.36
2022/1/13,81.92,81.93,85.62
2022/1/12,82.46,82.6,86.62
2022/1/11,81.12,81.44,84.93
2022/1/10,78.06,78.8,81.78
2022/1/7,78.95,79.59,82.32
2022/1/6,79.42,79.91,82.03
2022/1/5,77.78,78.73,80.05
2022/1/4,76.95,78.94,79.53
2022/1/3,75.94,76.91,78.33
2021/12/31,75.28,76.27,77.33
2021/12/30,76.78,78.03,78.6
2021/12/29,76.53,78.22,78.61
2021/12/28,75.96,76.86,0
2021/12/27,75.39,76.9,0
2021/12/24,0,0,74.95
2021/12/23,73.39,75.04,76.1
2021/12/22,72.72,73.9,74.93
2021/12/21,71,72.43,72.9
2021/12/20,68.59,70.48,71.02
2021/12/17,70.83,71.58,72.3
2021/12/16,72.24,72.76,74.23
2021/12/15,70.79,72.45,74.26
2021/12/14,70.47,71.07,73.01
2021/12/13,71.09,71.8,73.67
2021/12/10,71.61,73.79,75.03
2021/12/9,70.77,71.93,73.79
2021/12/8,72.33,73.96,76.04
2021/12/7,71.84,73.01,75.47
2021/12/6,69.52,73.3,73.91
2021/12/3,66.29,68.58,70.88
2021/12/2,66.5,69.9,71.2
2021/12/1,65.34,68.32,69.49
2021/11/30,66.04,68.41,70.83
2021/11/29,69.78,71.76,73.46
2021/11/26,0,70.81,72.36
2021/11/25,0,80.23,82.04
2021/11/24,0,79.85,82.37
2021/11/23,78.12,80.46,83.46
2021/11/22,76.69,77.59,80.81
2021/11/19,76.06,76.78,79.83
2021/11/18,78.87,79.11,82.27
2021/11/17,78.27,78.25,80.63
2021/11/16,80.71,80.27,82.67
2021/11/15,80.8,80,82.15
2021/11/12,80.82,79.93,82.67
2021/11/11,81.42,80.8,83.25
2021/11/10,81.18,80.69,82.98
2021/11/9,84.07,82.35,84.97
2021/11/8,81.91,80.88,83.51
2021/11/5,81.2,80.4,82.17
2021/11/4,78.83,79.49,80.52
2021/11/3,80.77,79.49,81.08
2021/11/2,83.86,81.49,83.96
2021/11/1,84.03,81.25,84.52
2021/10/29,83.45,82.2,83.39
2021/10/28,82.73,82.47,83.58
2021/10/27,82.61,82.11,83.74
2021/10/26,85.14,83.89,84.81
2021/10/25,84.54,83.73,84.85
2021/10/22,84.28,83.04,85.64
2021/10/21,82.62,82.4,84.67
2021/10/20,84.38,83.95,85.59
2021/10/19,83.17,82.88,85.05
2021/10/18,82.6,82.19,84.04
2021/10/15,82.37,82.81,84.72
2021/10/14,81.41,82,83.9
2021/10/13,80.65,81.25,83.27
2021/10/12,80.73,81,83.48
2021/10/11,0,81.3,83.79
2021/10/8,79.53,80.05,82.33
2021/10/7,78.44,80.03,82.43
2021/10/6,77.64,78.51,81.08
2021/10/5,79.15,80.31,82.68
2021/10/4,77.66,78.63,81.39
2021/10/1,75.99,76.75,79.36
2021/9/30,75.2,76.79,77.8
2021/9/29,75.04,76.35,77.66
2021/9/28,75.42,76.33,77.87
2021/9/27,75.52,77.25,78.83
2021/9/24,74.16,75.73,77.43
2021/9/23,73.41,75.14,76.57
2021/9/22,72.35,74.06,75.11
2021/9/21,70.49,72.36,73.73
2021/9/20,70.39,71.97,73.66
2021/9/17,72.07,73.17,74.75
2021/9/16,72.67,73.58,75.13
2021/9/15,72.57,73.49,74.96
2021/9/14,70.51,72.13,73.35
2021/9/13,70.52,72.11,73.11
2021/9/10,69.8,71.27,72.46
2021/9/9,68.24,69.08,71.19
2021/9/8,69.34,70.36,72.43
